keyword,cluster,intent,target_url,page_type,priority,target_term,volume_to_confirm,notes
"tds quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/tds/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"tds end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/tds/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"tds pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/tds/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"business analytics pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/ba/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Yes",""
"business analytics pyq iitm","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/ba/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"business analytics previous year questions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/ba/pyq/","Course PYQ page","P2","Evergreen — append papers each term","Maybe",""
"business analytics quiz 1 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/ba/quiz-1/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"business analytics quiz 2 pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/ba/quiz-2/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"business analytics end term pyq","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/ba/end-term/","Exam-type PYQ page","P2","Evergreen — append papers each term","Maybe",""
"business analytics pyq with solutions","B — PYQs","Transactional","https://genziitian.in/iitm-bs/diploma/ba/pyq/","Course PYQ page (long-tail)","P3","Evergreen — append papers each term","No","Programmatic long-tail"
"iitm oppe","C — OPPE","Informational","https://genziitian.in/iitm-bs/oppe/","OPPE explainer pillar","P1","Evergreen — append papers each term","Yes",""
"what is oppe","C — OPPE","Informational","https://genziitian.in/iitm-bs/oppe/","OPPE explainer pillar","P1","Evergreen — append papers each term","Yes",""
"oppe full form iit madras","C — OPPE","Informational","https://genziitian.in/iitm-bs/oppe/","OPPE explainer pillar","P1","Evergreen — append papers each term","Yes",""
"how to prepare for oppe","C — OPPE","Informational","https://genziitian.in/blog/how-to-prepare-for-oppe/","How-to blog","P2","Evergreen — append papers each term","Yes",""
"oppe rules","C — OPPE","Informational","https://genziitian.in/blog/oppe-rules-environment/","How-to blog","P2","Evergreen — append papers each term","Maybe",""
"python oppe","C — OPPE","Transactional","https://genziitian.in/iitm-bs/foundation/python/oppe/","Course OPPE page","P1","Evergreen — append papers each term","Yes","Highest OPPE volume"
"python oppe pyq","C — OPPE","Transactional","https://genziitian.in/iitm-bs/foundation/python/oppe/","Course OPPE page","P1","Evergreen — append papers each term","Maybe",""
"python oppe preparation","C — OPPE","Transactional","https://genziitian.in/iitm-bs/foundation/python/oppe/","Course OPPE page","P1","Evergreen — append papers each term","Maybe",""
"pdsa oppe","C — OPPE","Transactional","https://genziitian.in/iitm-bs/diploma/pdsa/oppe/","Course OPPE page","P2","Evergreen — append papers each term","Yes",""
"pdsa oppe pyq","C — OPPE","Transactional","https://genziitian.in/iitm-bs/diploma/pdsa/oppe/","Course OPPE page","P2","Evergreen — append papers each term","Maybe",""
"pdsa oppe preparation","C — OPPE","Transactional","https://genziitian.in/iitm-bs/diploma/pdsa/oppe/","Course OPPE page","P2","Evergreen — append papers each term","Maybe",""
"java oppe","C — OPPE","Transactional","https://genziitian.in/iitm-bs/diploma/java/oppe/","Course OPPE page","P2","Evergreen — append papers each term","Yes",""
"java oppe pyq","C — OPPE","Transactional","https://genziitian.in/iitm-bs/diploma/java/oppe/","Course OPPE page","P2","Evergreen — append papers each term","Maybe",""
"java oppe preparation","C — OPPE","Transactional","https://genziitian.in/iitm-bs/diploma/java/oppe/","Course OPPE page","P2","Evergreen — append papers each term","Maybe",""
"system commands oppe","C — OPPE","Transactional","https://genziitian.in/iitm-bs/diploma/system-commands/oppe/","Course OPPE page","P2","Evergreen — append papers each term","Yes",""
"system commands oppe pyq","C — OPPE","Transactional","https://genziitian.in/iitm-bs/diploma/system-commands/oppe/","Course OPPE page","P2","Evergreen — append papers each term","Maybe",""
"system commands oppe preparation","C — OPPE","Transactional","https://genziitian.in/iitm-bs/diploma/system-commands/oppe/","Course OPPE page","P2","Evergreen — append papers each term","Maybe",""
"mlp oppe","C — OPPE","Transactional","https://genziitian.in/iitm-bs/diploma/mlp/oppe/","Course OPPE page","P2","Evergreen — append papers each term","Yes",""
"mlp oppe pyq","C — OPPE","Transactional","https://genziitian.in/iitm-bs/diploma/mlp/oppe/","Course OPPE page","P2","Evergreen — append papers each term","Maybe",""
"mlp oppe preparation","C — OPPE","Transactional","https://genziitian.in/iitm-bs/diploma/mlp/oppe/","Course OPPE page","P2","Evergreen — append papers each term","Maybe",""
"tds oppe","C — OPPE","Transactional","https://genziitian.in/iitm-bs/diploma/tds/oppe/","Course OPPE page","P2","Evergreen — append papers each term","Yes",""
"tds oppe pyq","C — OPPE","Transactional","https://genziitian.in/iitm-bs/diploma/tds/oppe/","Course OPPE page","P2","Evergreen — append papers each term","Maybe",""
"tds oppe preparation","C — OPPE","Transactional","https://genziitian.in/iitm-bs/diploma/tds/oppe/","Course OPPE page","P2","Evergreen — append papers each term","Maybe",""
"iitm bs graded assignment solutions","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/graded-assignment/","GA hub","P2","Evergreen — append papers each term","Yes",""
"iitm bs ga answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/graded-assignment/","GA hub","P2","Evergreen — append papers each term","Maybe",""
"maths 1 graded assignment week 1 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/graded-assignment/week-1/","Programmatic GA week page","P1","Week 1 of term — lead by 1 wk","No","Weekly recurring"
"maths 1 graded assignment week 2 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/graded-assignment/week-2/","Programmatic GA week page","P1","Week 2 of term — lead by 1 wk","No","Weekly recurring"
"maths 1 graded assignment week 3 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/graded-assignment/week-3/","Programmatic GA week page","P1","Week 3 of term — lead by 1 wk","No","Weekly recurring"
"maths 1 graded assignment week 4 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/graded-assignment/week-4/","Programmatic GA week page","P1","Week 4 of term — lead by 1 wk","No","Weekly recurring"
"maths 1 graded assignment week 5 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/graded-assignment/week-5/","Programmatic GA week page","P1","Week 5 of term — lead by 1 wk","No","Weekly recurring"
"maths 1 graded assignment week 6 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/graded-assignment/week-6/","Programmatic GA week page","P1","Week 6 of term — lead by 1 wk","No","Weekly recurring"
"maths 1 graded assignment week 7 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/graded-assignment/week-7/","Programmatic GA week page","P1","Week 7 of term — lead by 1 wk","No","Weekly recurring"
"maths 1 graded assignment week 8 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/graded-assignment/week-8/","Programmatic GA week page","P1","Week 8 of term — lead by 1 wk","No","Weekly recurring"
"maths 1 graded assignment week 9 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/graded-assignment/week-9/","Programmatic GA week page","P1","Week 9 of term — lead by 1 wk","No","Weekly recurring"
"maths 1 graded assignment week 10 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/graded-assignment/week-10/","Programmatic GA week page","P1","Week 10 of term — lead by 1 wk","No","Weekly recurring"
"maths 1 graded assignment week 11 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/graded-assignment/week-11/","Programmatic GA week page","P1","Week 11 of term — lead by 1 wk","No","Weekly recurring"
"maths 1 graded assignment week 12 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/graded-assignment/week-12/","Programmatic GA week page","P1","Week 12 of term — lead by 1 wk","No","Weekly recurring"
"maths 1 quiz 1 important questions","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/quiz-1/","Quiz prep page","P2","Quiz 1 window (~wk4-5)","Maybe",""
"maths 1 quiz 2 important questions","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-1/quiz-2/","Quiz prep page","P2","Quiz 2 window (~wk8-9)","Maybe",""
"maths 2 graded assignment week 1 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/graded-assignment/week-1/","Programmatic GA week page","P1","Week 1 of term — lead by 1 wk","No","Weekly recurring"
"maths 2 graded assignment week 2 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/graded-assignment/week-2/","Programmatic GA week page","P1","Week 2 of term — lead by 1 wk","No","Weekly recurring"
"maths 2 graded assignment week 3 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/graded-assignment/week-3/","Programmatic GA week page","P1","Week 3 of term — lead by 1 wk","No","Weekly recurring"
"maths 2 graded assignment week 4 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/graded-assignment/week-4/","Programmatic GA week page","P1","Week 4 of term — lead by 1 wk","No","Weekly recurring"
"maths 2 graded assignment week 5 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/graded-assignment/week-5/","Programmatic GA week page","P1","Week 5 of term — lead by 1 wk","No","Weekly recurring"
"maths 2 graded assignment week 6 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/graded-assignment/week-6/","Programmatic GA week page","P1","Week 6 of term — lead by 1 wk","No","Weekly recurring"
"maths 2 graded assignment week 7 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/graded-assignment/week-7/","Programmatic GA week page","P1","Week 7 of term — lead by 1 wk","No","Weekly recurring"
"maths 2 graded assignment week 8 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/graded-assignment/week-8/","Programmatic GA week page","P1","Week 8 of term — lead by 1 wk","No","Weekly recurring"
"maths 2 graded assignment week 9 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/graded-assignment/week-9/","Programmatic GA week page","P1","Week 9 of term — lead by 1 wk","No","Weekly recurring"
"maths 2 graded assignment week 10 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/graded-assignment/week-10/","Programmatic GA week page","P1","Week 10 of term — lead by 1 wk","No","Weekly recurring"
"maths 2 graded assignment week 11 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/graded-assignment/week-11/","Programmatic GA week page","P1","Week 11 of term — lead by 1 wk","No","Weekly recurring"
"maths 2 graded assignment week 12 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/graded-assignment/week-12/","Programmatic GA week page","P1","Week 12 of term — lead by 1 wk","No","Weekly recurring"
"maths 2 quiz 1 important questions","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/quiz-1/","Quiz prep page","P2","Quiz 1 window (~wk4-5)","Maybe",""
"maths 2 quiz 2 important questions","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/maths-2/quiz-2/","Quiz prep page","P2","Quiz 2 window (~wk8-9)","Maybe",""
"statistics 1 graded assignment week 1 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/graded-assignment/week-1/","Programmatic GA week page","P1","Week 1 of term — lead by 1 wk","No","Weekly recurring"
"statistics 1 graded assignment week 2 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/graded-assignment/week-2/","Programmatic GA week page","P1","Week 2 of term — lead by 1 wk","No","Weekly recurring"
"statistics 1 graded assignment week 3 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/graded-assignment/week-3/","Programmatic GA week page","P1","Week 3 of term — lead by 1 wk","No","Weekly recurring"
"statistics 1 graded assignment week 4 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/graded-assignment/week-4/","Programmatic GA week page","P1","Week 4 of term — lead by 1 wk","No","Weekly recurring"
"statistics 1 graded assignment week 5 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/graded-assignment/week-5/","Programmatic GA week page","P1","Week 5 of term — lead by 1 wk","No","Weekly recurring"
"statistics 1 graded assignment week 6 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/graded-assignment/week-6/","Programmatic GA week page","P1","Week 6 of term — lead by 1 wk","No","Weekly recurring"
"statistics 1 graded assignment week 7 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/graded-assignment/week-7/","Programmatic GA week page","P1","Week 7 of term — lead by 1 wk","No","Weekly recurring"
"statistics 1 graded assignment week 8 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/graded-assignment/week-8/","Programmatic GA week page","P1","Week 8 of term — lead by 1 wk","No","Weekly recurring"
"statistics 1 graded assignment week 9 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/graded-assignment/week-9/","Programmatic GA week page","P1","Week 9 of term — lead by 1 wk","No","Weekly recurring"
"statistics 1 graded assignment week 10 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/graded-assignment/week-10/","Programmatic GA week page","P1","Week 10 of term — lead by 1 wk","No","Weekly recurring"
"statistics 1 graded assignment week 11 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/graded-assignment/week-11/","Programmatic GA week page","P1","Week 11 of term — lead by 1 wk","No","Weekly recurring"
"statistics 1 graded assignment week 12 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/graded-assignment/week-12/","Programmatic GA week page","P1","Week 12 of term — lead by 1 wk","No","Weekly recurring"
"statistics 1 quiz 1 important questions","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/quiz-1/","Quiz prep page","P2","Quiz 1 window (~wk4-5)","Maybe",""
"statistics 1 quiz 2 important questions","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-1/quiz-2/","Quiz prep page","P2","Quiz 2 window (~wk8-9)","Maybe",""
"statistics 2 graded assignment week 1 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/graded-assignment/week-1/","Programmatic GA week page","P1","Week 1 of term — lead by 1 wk","No","Weekly recurring"
"statistics 2 graded assignment week 2 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/graded-assignment/week-2/","Programmatic GA week page","P1","Week 2 of term — lead by 1 wk","No","Weekly recurring"
"statistics 2 graded assignment week 3 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/graded-assignment/week-3/","Programmatic GA week page","P1","Week 3 of term — lead by 1 wk","No","Weekly recurring"
"statistics 2 graded assignment week 4 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/graded-assignment/week-4/","Programmatic GA week page","P1","Week 4 of term — lead by 1 wk","No","Weekly recurring"
"statistics 2 graded assignment week 5 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/graded-assignment/week-5/","Programmatic GA week page","P1","Week 5 of term — lead by 1 wk","No","Weekly recurring"
"statistics 2 graded assignment week 6 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/graded-assignment/week-6/","Programmatic GA week page","P1","Week 6 of term — lead by 1 wk","No","Weekly recurring"
"statistics 2 graded assignment week 7 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/graded-assignment/week-7/","Programmatic GA week page","P1","Week 7 of term — lead by 1 wk","No","Weekly recurring"
"statistics 2 graded assignment week 8 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/graded-assignment/week-8/","Programmatic GA week page","P1","Week 8 of term — lead by 1 wk","No","Weekly recurring"
"statistics 2 graded assignment week 9 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/graded-assignment/week-9/","Programmatic GA week page","P1","Week 9 of term — lead by 1 wk","No","Weekly recurring"
"statistics 2 graded assignment week 10 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/graded-assignment/week-10/","Programmatic GA week page","P1","Week 10 of term — lead by 1 wk","No","Weekly recurring"
"statistics 2 graded assignment week 11 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/graded-assignment/week-11/","Programmatic GA week page","P1","Week 11 of term — lead by 1 wk","No","Weekly recurring"
"statistics 2 graded assignment week 12 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/graded-assignment/week-12/","Programmatic GA week page","P1","Week 12 of term — lead by 1 wk","No","Weekly recurring"
"statistics 2 quiz 1 important questions","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/quiz-1/","Quiz prep page","P2","Quiz 1 window (~wk4-5)","Maybe",""
"statistics 2 quiz 2 important questions","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/stats-2/quiz-2/","Quiz prep page","P2","Quiz 2 window (~wk8-9)","Maybe",""
"ct graded assignment week 1 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/ct/graded-assignment/week-1/","Programmatic GA week page","P1","Week 1 of term — lead by 1 wk","No","Weekly recurring"
"ct graded assignment week 2 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/ct/graded-assignment/week-2/","Programmatic GA week page","P1","Week 2 of term — lead by 1 wk","No","Weekly recurring"
"ct graded assignment week 3 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/ct/graded-assignment/week-3/","Programmatic GA week page","P1","Week 3 of term — lead by 1 wk","No","Weekly recurring"
"ct graded assignment week 4 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/ct/graded-assignment/week-4/","Programmatic GA week page","P1","Week 4 of term — lead by 1 wk","No","Weekly recurring"
"ct graded assignment week 5 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/ct/graded-assignment/week-5/","Programmatic GA week page","P1","Week 5 of term — lead by 1 wk","No","Weekly recurring"
"ct graded assignment week 6 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/ct/graded-assignment/week-6/","Programmatic GA week page","P1","Week 6 of term — lead by 1 wk","No","Weekly recurring"
"ct graded assignment week 7 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/ct/graded-assignment/week-7/","Programmatic GA week page","P1","Week 7 of term — lead by 1 wk","No","Weekly recurring"
"ct graded assignment week 8 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/ct/graded-assignment/week-8/","Programmatic GA week page","P1","Week 8 of term — lead by 1 wk","No","Weekly recurring"
"ct graded assignment week 9 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/ct/graded-assignment/week-9/","Programmatic GA week page","P1","Week 9 of term — lead by 1 wk","No","Weekly recurring"
"ct graded assignment week 10 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/ct/graded-assignment/week-10/","Programmatic GA week page","P1","Week 10 of term — lead by 1 wk","No","Weekly recurring"
"ct graded assignment week 11 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/ct/graded-assignment/week-11/","Programmatic GA week page","P1","Week 11 of term — lead by 1 wk","No","Weekly recurring"
"ct graded assignment week 12 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/ct/graded-assignment/week-12/","Programmatic GA week page","P1","Week 12 of term — lead by 1 wk","No","Weekly recurring"
"ct quiz 1 important questions","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/ct/quiz-1/","Quiz prep page","P2","Quiz 1 window (~wk4-5)","Maybe",""
"ct quiz 2 important questions","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/ct/quiz-2/","Quiz prep page","P2","Quiz 2 window (~wk8-9)","Maybe",""
"english 1 graded assignment week 1 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/graded-assignment/week-1/","Programmatic GA week page","P1","Week 1 of term — lead by 1 wk","No","Weekly recurring"
"english 1 graded assignment week 2 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/graded-assignment/week-2/","Programmatic GA week page","P1","Week 2 of term — lead by 1 wk","No","Weekly recurring"
"english 1 graded assignment week 3 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/graded-assignment/week-3/","Programmatic GA week page","P1","Week 3 of term — lead by 1 wk","No","Weekly recurring"
"english 1 graded assignment week 4 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/graded-assignment/week-4/","Programmatic GA week page","P1","Week 4 of term — lead by 1 wk","No","Weekly recurring"
"english 1 graded assignment week 5 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/graded-assignment/week-5/","Programmatic GA week page","P1","Week 5 of term — lead by 1 wk","No","Weekly recurring"
"english 1 graded assignment week 6 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/graded-assignment/week-6/","Programmatic GA week page","P1","Week 6 of term — lead by 1 wk","No","Weekly recurring"
"english 1 graded assignment week 7 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/graded-assignment/week-7/","Programmatic GA week page","P1","Week 7 of term — lead by 1 wk","No","Weekly recurring"
"english 1 graded assignment week 8 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/graded-assignment/week-8/","Programmatic GA week page","P1","Week 8 of term — lead by 1 wk","No","Weekly recurring"
"english 1 graded assignment week 9 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/graded-assignment/week-9/","Programmatic GA week page","P1","Week 9 of term — lead by 1 wk","No","Weekly recurring"
"english 1 graded assignment week 10 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/graded-assignment/week-10/","Programmatic GA week page","P1","Week 10 of term — lead by 1 wk","No","Weekly recurring"
"english 1 graded assignment week 11 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/graded-assignment/week-11/","Programmatic GA week page","P1","Week 11 of term — lead by 1 wk","No","Weekly recurring"
"english 1 graded assignment week 12 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/graded-assignment/week-12/","Programmatic GA week page","P1","Week 12 of term — lead by 1 wk","No","Weekly recurring"
"english 1 quiz 1 important questions","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/quiz-1/","Quiz prep page","P2","Quiz 1 window (~wk4-5)","Maybe",""
"english 1 quiz 2 important questions","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-1/quiz-2/","Quiz prep page","P2","Quiz 2 window (~wk8-9)","Maybe",""
"english 2 graded assignment week 1 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-2/graded-assignment/week-1/","Programmatic GA week page","P1","Week 1 of term — lead by 1 wk","No","Weekly recurring"
"english 2 graded assignment week 2 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-2/graded-assignment/week-2/","Programmatic GA week page","P1","Week 2 of term — lead by 1 wk","No","Weekly recurring"
"english 2 graded assignment week 3 answers","D — GA & Quizzes","Transactional","https://genziitian.in/iitm-bs/foundation/english-2/graded-assignment/week-3/","Programmatic GA week page","P1","Week 3 of term — lead by 1 wk","No","Weekly recurring"
